Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct,Unit_Price,Country_Risk_Raw,Strategic_Vulnerability_Score,Anomaly_Flag,HHI_Risk_Score
2018-2019,Graphite-ArtificialGraphite,38011000,Import,OMAN,0.07,251966.0,0.2302631578947368,2.778152607891541e-07,5.5,0.12664473684210525,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.42,571000.0,1.381578947368421,7.355516637478109e-07,5.5,0.7598684210526316,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.08,140000.0,0.2631578947368421,5.714285714285714e-07,2.3,0.06052631578947367,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.0,1.0,,0.0,5.5,0.0,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.05,16001.0,0.1644736842105263,3.1248046997062687e-06,1.8,0.029605263157894735,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.46,82985.0,1.5131578947368425,5.543170452491414e-06,5.5,0.8322368421052634,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,THAILAND,0.03,22900.0,0.0986842105263157,1.3100436681222706e-06,5.8,0.0572368421052631,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.02,7250.0,0.0657894736842105,2.7586206896551725e-06,4.2,0.027631578947368406,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,U K,0.03,18410.0,0.0986842105263157,1.6295491580662683e-06,2.9,0.02861842105263155,1,5703.2022386890185
2018-2019,Graphite-ArtificialGraphite,38011000,Import,U S A,1.85,833639.0,6.085526315789474,2.219186002574256e-06,3.8,2.3125,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.02,31213.0,0.0785237534354142,6.407586582513697e-07,1.6,0.012563800549666274,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.0,2000.0,0.0,0.0,5.5,0.0,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,15000.0,0.0,0.0,5.5,0.0,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.02,5457.0,0.0785237534354142,3.665017408832692e-06,5.5,0.043188064389477816,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,0.01,25000.0,0.0392618767177071,4e-07,5.5,0.021594032194738908,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,0.0,1.0,0.0,0.0,5.7,0.0,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.01,36.0,0.0392618767177071,0.0002777777777777778,1.5,0.005889281507656065,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,14.68,18414804.0,57.63643502159403,7.971846998751656e-07,5.3,30.547310561444835,-1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.0,3000.0,0.0,0.0,5.5,0.0,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,EGYPT A RP,0.0,1.0,,0.0,5.5,0.0,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,FRANCE,2.28,373328.0,8.95170789163722,6.107230103287189e-06,2.3,2.05889281507656,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,GERMANY,0.52,183976.0,2.041617589320769,2.826455624646693e-06,2.1,0.42873969375736154,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.17,201405.0,0.6674519042010209,8.440704054020506e-07,3.5,0.23360816647035731,1,5703.2022386890185
2019-2020,Graphite-ArtificialGraphite,38011000,Import,INDONESIA,0.01,20000.0,0.0392618767177071,5e-07,5.4,0.02120141342756184,1,5703.2022386890185
