Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct
2021-2022,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.48,85691.0,1.1059907834101383
2021-2022,Graphite-ArtificialGraphite,38011000,Import,TAIWAN,,,
2021-2022,Graphite-ArtificialGraphite,38011000,Import,THAILAND,,,
2021-2022,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.0,,0.0
2021-2022,Graphite-ArtificialGraphite,38011000,Import,U K,0.13,75627.0,0.2995391705069125
2021-2022,Graphite-ArtificialGraphite,38011000,Import,U S A,2.72,503075.0,6.267281105990784
2022-2023,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.02,13649.0,0.029489826010026535
2022-2023,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.08,58400.0,0.11795930404010614
2022-2023,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,13000.0,0.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.71,414816.0,1.0468888233559421
2022-2023,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,0.02,14027.0,0.029489826010026535
2022-2023,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.0,68.0,0.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,53.7,41661268.0,79.18018283692125
2022-2023,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.09,68065.0,0.13270421704511942
2022-2023,Graphite-ArtificialGraphite,38011000,Import,FRANCE,1.7,359833.0,2.5066352108522554
2022-2023,Graphite-ArtificialGraphite,38011000,Import,GERMANY,2.71,1225919.0,3.9958714243585955
2022-2023,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.04,11817.0,0.05897965202005307
2022-2023,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.22,43432.0,0.3243880861102919
2022-2023,Graphite-ArtificialGraphite,38011000,Import,JAPAN,2.82,451165.0,4.158065467413741
2022-2023,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.34,30581.0,0.5013270421704512
2022-2023,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.4,812183.0,0.5897965202005309
2022-2023,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.28,171696.0,0.41285756414037156
2022-2023,Graphite-ArtificialGraphite,38011000,Import,NORWAY,,,
2022-2023,Graphite-ArtificialGraphite,38011000,Import,OMAN,0.0,14790.0,0.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.02,4560.0,0.029489826010026535
2022-2023,Graphite-ArtificialGraphite,38011000,Import,RUSSIA,,,
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SAUDI ARAB,,,
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.0,,0.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SLOVENIA,0.06,21200.0,0.08846947803007961
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SOUTH AFRICA,0.84,660001.0,1.2385726924211145
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.0,66.0,0.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SRI LANKA DSR,0.0,500.0,0.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.3,84134.0,0.4423473901503981
2022-2023,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.36,57015.0,0.5308168681804777
2022-2023,Graphite-ArtificialGraphite,38011000,Import,TAIWAN,0.0,4.0,0.0
2022-2023,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.11,277340.0,0.16219404305514595
2022-2023,Graphite-ArtificialGraphite,38011000,Import,U K,0.42,235862.0,0.6192863462105572
2022-2023,Graphite-ArtificialGraphite,38011000,Import,U S A,2.58,255881.0,3.8041875552934235
2023-2024,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.01,14015.0,0.01494544911074578
2023-2024,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.19,109000.0,0.28396353310416983
2023-2024,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,,,
2023-2024,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.14,43527.0,0.20923628755044094
2023-2024,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,0.0,17700.0,0.0
2023-2024,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,0.02,26000.0,0.02989089822149156
2023-2024,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.03,1512.0,0.044836347332237333
2023-2024,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,53.69,58407512.0,80.24211627559407
2023-2024,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.03,14000.0,0.044836347332237333
2023-2024,Graphite-ArtificialGraphite,38011000,Import,FRANCE,1.27,252825.0,1.8980720370647137
